src_url,vcs,name,web_url,description
https://github.com/transloadit/uppy,git,transloadit/uppy,,
https://github.com/mobxjs/mobx,git,mobxjs/mobx,,
https://github.com/facebook/relay,git,facebook/relay,,
https://github.com/apollographql/apollo-client,git,apollographql/apollo-client,,
https://github.com/react-dnd/react-dnd,git,react-dnd/react-dnd,,
https://github.com/aws-amplify/amplify-js,git,aws-amplify/amplify-js,,
https://github.com/facebook/flux,git,Flux,https://facebook.github.io/flux/,Application Architecture for Building User Interfaces
https://github.com/reflux/refluxjs,git,RefluxJS,,A simple library for uni-directional dataflow application architecture with React extensions inspired by Flux.
https://github.com/acdlite/flummox,git,Flummox,http://acdlite.github.io/flummox,"Minimal, isomorphic Flux."
https://github.com/yahoo/fluxible,git,Fluxible,https://fluxible.io/,A pluggable container for universal Flux applications.
https://github.com/reduxjs/redux,git,Redux,https://redux.js.org/,Predictable state container for JavaScript apps
https://github.com/infernojs/inferno,git,Inferno,https://infernojs.org/,"An insanely fast, React-like library for building high-performance user interfaces on both the client and server."
https://github.com/ReactTraining/react-router,git,React Router,https://reacttraining.com/react-router/,"A collection of navigational components that compose declaratively with your application. Whether you want to have bookmarkable URLs for your web app or a composable way to navigate in React Native, React Router works wherever React is rendering."
https://github.com/emberjs/data,git,EmberJS Data,,A data persistence library for Ember.js.
